,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,RANGO ENTRE 0 Y 15 CBM,,,,,,,
PUERTO CARGA,PAIS ,TON / M3 Usd,MINIMO,FREC. ,T / T APROX.,SERVICIO,,,
MONTREAL,CANADA,"USD 175,00","USD 175,00",38 días,SEMANAL,REMARKS,VIA MIAMI,ODYSSEY,
TORONTO ,CANADA,"USD 165,00","USD 165,00",46 días,SEMANAL,REMARKS,VIA MIAMI,ODYSSEY,
,,,,,,,,,
REMARKS: ,,,,,,,,,
ADICIONAR PARA AGENTE MSL USA,,,,,,,,,
"SED US$ 50.00 (SHIPPER EXPORT DECLARATION) -->  Concepto se aplica cuando factura Comercial por el total o por ítem supera los US$2.500,00",,,,,,,,,
VGM USD 10.00 x BL ,,,,,,,,,
BL FEE USD 25.00,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ADICIONAR PARA AGENTE ODYSSEY CANADÁ: ,,,,,,,,,
"BOND FEE USD 85,00 x TRAMITACIÓN",,,,,,,,,
VGM USD 10.00 x BL ,,,,,,,,,
BL FEE USD  40.00 x BL,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
VIGENCIA DE TARIFAS PARA CARGAS EMBARCADAS DESDE EL 01/08/25 AL 31/08/25,,,,,,,,,
TARIFAS SOLO SERAN VÁLIDADAS POR CARGAS RUTEADAS A TRAVÉS DE MSL CHILE EN CONDICION DE FLETE COLLECT,,,,,,,,,
,,,,,,,,,
"Cotización válida para carga apilable, no IMO, de peso y medidas estándar",,,,,,,,,
"Tarifas válidas hasta 15 CBM, cargas mayor volumen cotizar caso a caso.",,,,,,,,,
"RECARGO SOBRE PESO POR BL:    Sobre 8 ton, tendrá un recargó de usd 8 W/M. Sobre 10 ton revisar caso a caso",,,,,,,,,
"Nota: En el caso de cargas sobre las 5 Ton donde el peso sea mayor que el volumen, considerar que podrían tener extra-costos de origen, el cual se tendría que revisar caso a caso. ",,,,,,,,,
Cargas provenientes de Alemania considerar 1tons = 2 cbm.,,,,,,,,,
,,,,,,,,,
"·         Cotización válida para carga apilable, no IMO, de peso y medidas estándar. ",,,,,,,,,
·         Tarifas no incluyen inspecciones de aduana realizadas en puertos de embarques. y/o transbordos,,,,,,,,,
"·         Tiempos de tránsito presentados son estimados, NO garantizados",,,,,,,,,
"·         Considerar que tiempos de transito para cargas via no incluyen procesos por desconsolidacion, inspecciones en puerto transbordo y/o Origen, tramites aduaneros y entregas a stacking.",,,,,,,,,
·         Pick up en origen internos son servicios con tiempos estimados no garantizados a menos que se requiera un servicio Priority. Los días de tránsito considerados son días hábiles y el día de la recogida ,,,,,,,,,
          no se incluye entre estos. ,,,,,,,,,
·         Esta tarifa está sujeta a cambios según las dimensiones de la carga. ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"NOTA:  Para cargas IMO, sobredimensión  y/o extra peso favor cotizar directamente con sus ejecutivos.",,,,,,,,,
Adicional considerar las siiguientes medidas para consolidacion de mercaderias: ,,,,,,,,,
Largo mayor a 3 mts consultar caso a caso,,,,,,,,,
"Ancho mayor a 2,10 mts se recomienda cargar en unidad 40 HC, en caso de requerir consultar directamente con sus ejecutivos el recargo a aplicar",,,,,,,,,
"Alto mayor a 2 mts se recomienda cargar en unidad 40 HC, en caso de requerir consultar directamente con sus ejecutivos el recargo a aplicar",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
PUERTO CARGA,PAIS ,TON / M3 usd,MINIMO,T / T APROX.,FREC., OTROS ,SERVICIO,AGENTE,OBSERVACIONES
BUENOS AIRES,ARGENTINA,"USD 98,00 ","USD 98,00 ",30 días,SEM. VIA CALLAO,DDT USD 50.00 + VGM USD 7.50,MULTIMODAL,MSL ARGENTINA,
SANTOS,BRASIL,"USD 75,00 ","USD 75,00 ",12 días,SEMANAL,*********,DIRECTO,MSL BRASIL,
CACHOEIRINHA / NAVEGANTES / ITAJAI,BRASIL,"USD 95,00 ","USD 95,00 ",14 días,SEMANAL,*********,VIA SANTOS,MSL BRASIL,
RIO DE JANEIRO,BRASIL,"USD 95,00 ","USD 95,00 ",14 días,SEMANAL,*********,VIA SANTOS,MSL BRASIL,
